Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of DNA-templated Transcription (GO:0006355)	109/1922	3.633745644893017E-6	6.191498829381601E-4	0	0	1.6650749875239672	20.85547479890556	NAB1;ZNF292;JMJD1C;ARID4A;RORA;IKZF5;YY1;ZXDA;FGF7;ZXDB;BBX;EPC2;RNF111;TP63;MAP3K5;ACVR1;FBXW11;ZNF281;WNT5A;DYRK1A;ARID5B;RUNX2;DKK3;FOXP1;PIAS1;PRKAR1A;TFAM;ZNF678;PHIP;PGR;ATF6;CTBP2;CREBL2;FOXO3;FOXO1;MTDH;NPAT;SBNO1;ATXN7;HIVEP2;ZNF148;BPTF;DR1;XRCC5;DENND4A;ZBTB10;IRF2BP2;NR1D2;NR2F2;FOXN3;IGF1;INHBA;SMARCA2;FLI1;PBX1;FUBP3;JMY;REL;CREBRF;BRWD1;RSF1;NIPBL;PPP3CB;MED13;TRPS1;TEAD1;KLF11;NCOA2;USP47;MYOCD;CHUK;ATMIN;MSL2;ZFP91;ASH1L;RGMB;ETV3;SIRT1;PHF20L1;PPM1A;ELF1;CREB1;AEBP2;WAC;NCOA7;SOS1;ZMYND11;KDM7A;VGLL3;HDAC2;SATB1;SPTY2D1;PURB;BCLAF1;HDX;NFYA;PCGF5;WWP1;KLF4;KLF3;TBX3;RYBP;KLF9;RLIM;PDCD4;ERCC6;TAF5;ZNF697;TRIM33
Insulin Receptor Signaling Pathway (GO:0008286)	10/47	6.6909750395680505E-6	0.0010800642340186954	0	0	7.127127127127127	84.91794469886763	BCAR3;GSK3B;PIK3CA;IRS1;PDK4;PHIP;IDE;PIK3C2A;FOXO1;APPL1
Dephosphorylation (GO:0016311)	18/147	8.393382917564936E-6	0.001287125270408583	0	0	3.702609424894365	43.276346701466515	PPP1R12A;PPTC7;FBXW11;PPP4R3B;PPP2R5C;PPM1E;MTM1;PTPRG;CTTNBP2NL;PPP3CA;PPP6C;PPM1A;PPP2CB;PPP3R1;PTPRB;PPP3CB;PPM1B;PDP2
Regulation Of Myosin-Light-Chain-Phosphatase Activity (GO:0035507)	4/6	2.613458390614328E-5	0.0038168937542924493	0	0	52.40544217687075	552.9953831206557	NUAK1;PPP1R12A;ROCK1;ROCK2
Peptidyl-Threonine Phosphorylation (GO:0018107)	10/58	4.673426422173402E-5	0.006396514023632964	0	0	5.490683584819387	54.747786959156485	GSK3B;DYRK2;ROCK1;ROCK2;TNKS;DYRK1A;MAPK1;HIPK1;HIPK3;TGFBR2
Membrane Organization (GO:0061024)	18/167	4.7968641194508694E-5	0.006396514023632964	0	0	3.202263820756034	31.846395434623442	BLTP3B;UBXN2B;SAR1A;EXOC8;VPS37A;STAM;PIK3C2A;ATP2C1;TOR1AIP1;BLTP1;SERP1;SYNJ1;REEP3;CHMP1B;FCHO2;EXOC6;EXOC5;CERT1
Negative Regulation Of Gene Expression (GO:0010629)	28/336	5.6815570210214594E-5	0.00726055640978034	0	0	2.423347398030942	23.689917513667595	NOTCH2;DDX6;GSK3B;ROCK2;BMI1;TOB1;FXR1;YY1;PPP2CB;RNF139;NPTN;ANXA7;ZNF148;ZNF281;ADAM10;IGF1;KLF4;SIRT1;FOXP1;RBL2;PRKAR1A;CAPRIN1;REL;PGR;PABPC1;CPEB3;BMPR1A;RBMS3
Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)	19/186	6.25349399809054E-5	0.007671786436857475	0	0	3.0171823020625417	29.20567634498909	NOTCH2;GSK3B;ROCK2;ZNF281;ADAM10;IGF1;KLF4;SIRT1;FOXP1;YY1;RBL2;PPP2CB;PRKAR1A;REL;ANXA7;PGR;ZNF148;BMPR1A;RBMS3
Protein Deubiquitination (GO:0016579)	14/112	6.593061405063567E-5	0.007777276665126908	0	0	3.7759605911330048	36.35082398095284	OTUD4;USP46;USP47;USP25;ZRANB1;USP38;MINDY2;USP10;USP34;ABRAXAS2;VCPIP1;CYLD;USP51;OTUD1
Regulation Of Gene Expression (GO:0010468)	67/1127	8.238629689287486E-5	0.009358473058164712	0	0	1.711965128032345	16.099476597071643	GSK3B;BMPR2;NAB1;JMJD1C;RORA;RSF1;PIK3CB;BMI1;AFF4;AFF1;YY1;FGF7;ANXA7;VPS35;NCOA2;MBNL1;ZNF281;WNT5A;MSL2;RC3H1;ADAM10;ZBTB34;ASH1L;SIRT1;FOXP1;RNF168;RBL2;PRKAR1A;RBM12B;ZNF678;PGR;MATR3;TLR4;RBMS3;NOTCH2;ROCK1;ROCK2;ILDR1;CREBL2;SPTY2D1;TOB1;NPAT;SBNO1;PPP2CB;ATXN7;ZNF148;RBM12;SLC38A2;BPTF;DR1;NFYA;DENND4A;NR1D2;FOXN3;IGF1;INHBA;KLF4;SMARCA2;BMP6;NUDT21;RYBP;SON;FUBP3;REL;RLIM;FAM98A;BMPR1A
Endosomal Transport (GO:0016197)	18/180	1.270662153286079E-4	0.013918288657601445	0	0	2.9432886423177687	26.403660306728504	STX12;RIC1;CLTC;RHOBTB3;GCC2;VPS26A;BLTP1;ACAP2;PIKFYVE;SNX18;AP5M1;SNX2;CHMP1B;DENND10;VTI1A;STX6;VPS35;ANKRD50
Peptidyl-Threonine Modification (GO:0018210)	10/66	1.4486401570538746E-4	0.015320618488566322	0	0	4.704340583970214	41.585030393561446	GSK3B;DYRK2;ROCK1;ROCK2;TNKS;DYRK1A;MAPK1;HIPK1;HIPK3;TGFBR2
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	24/284	1.5243437655489055E-4	0.015583874429794977	0	0	2.4530607853684776	21.559402670023907	BCAR3;GSK3B;IRS1;FLT3;IGF1;IDE;PIK3CB;PIK3C2A;FOXO1;PTPRG;SETX;GHR;FGF7;FLRT2;PIK3CA;AXL;PDK4;MAPK1;SHOC2;PHIP;TEK;JAK2;PAK2;APPL1
Positive Regulation Of Autophagy (GO:0010508)	13/107	1.5937129968237468E-4	0.015767476649220746	0	0	3.651178125549499	31.92690144144751	GSK3B;ROCK1;PIK3CB;FOXO3;PIK3C2A;SIRT1;FOXO1;DCN;MTDH;CCNY;RB1CC1;WAC;ATF6
Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901)	11/80	1.671394501866915E-4	0.016019271678830712	0	0	4.202739289695812	36.54988739588537	LATS1;MYOCD;APC;PRKAR1A;HEG1;PRKAR2A;IRAK3;PIK3CB;NR2F2;IPO7;SIRT1
Retrograde Transport, Endosome To Golgi (GO:0042147)	12/94	1.7622157747516378E-4	0.016377926609585675	0	0	3.860636763176435	33.37045002587502	PIKFYVE;BLTP3B;SNX2;RIC1;TRAPPC10;CLTC;RHOBTB3;STX6;VTI1A;GCC2;VPS35;VPS26A
Positive Regulation Of Osteoblast Differentiation (GO:0045669)	8/44	1.8224109992901068E-4	0.016439219220066935	0	0	5.844353245174038	50.32093355706304	PPP3CA;BMPR2;IGF1;IL6ST;TP63;BMP6;RUNX2;BMPR1A
Peptidyl-Serine Dephosphorylation (GO:0070262)	4/9	2.0079888892935298E-4	0.017509869308462635	0	0	20.95891156462585	178.42754642757092	PPP1R15B;PPP2CB;PPP3CA;PPTC7
Regulation Of calcineurin-NFAT Signaling Cascade (GO:0070884)	7/34	2.055282996754662E-4	0.017509869308462635	0	0	6.812284962558187	57.83580082404601	GSK3B;PPP3CA;PRNP;PPP3CB;PPP3R1;DYRK2;IGF1
Positive Regulation Of mRNA Catabolic Process (GO:0061014)	8/45	2.1454962375677203E-4	0.017784424217892426	0	0	5.686101970643694	48.03032992086782	FXR1;METTL14;ROCK1;ROCK2;PABPC1;CNOT8;CPEB3;TOB1
Vesicle-Mediated Transport To The Plasma Membrane (GO:0098876)	11/83	2.329622642259583E-4	0.01880250695739511	0	0	4.026995573870574	33.6843443915415	STX12;ARFGEF2;EXOC8;STX6;VTI1A;VPS35;EXOC6;VPS26A;EXOC5;ANKRD50;BLTP1
Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	11/85	2.880471268569265E-4	0.022069103680924355	0	0	3.9177494802494803	31.939007801943333	UPF2;HBS1L;CNOT6;CNOT6L;PDE12;CSDE1;RC3H1;MTPAP;CNOT8;TENT4B;GSPT1
Polyol Metabolic Process (GO:0019751)	5/17	2.9027892066965096E-4	0.022069103680924355	0	0	10.926998183469573	88.996775738731	INPP4B;MINPP1;SYNJ1;IPMK;SLC5A3
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	36/525	2.950222533152587E-4	0.022069103680924355	0	0	1.965843143757254	15.979276907183259	ANKRD17;BCAR3;BMPR2;ROCK1;FLT3;ROCK2;PELI2;IFIT5;DDX21;PIK3CB;ATP2C1;MTDH;BCLAF1;JAK2;SASH1;OSBPL8;CHUK;RIPK2;WNT5A;IGF1;SIRT1;BMP6;DCN;SELP;PPM1A;GOLPH3;FRMD6;PIK3CA;AXL;REL;PELI1;PDCD4;TAB2;TEK;TLR4;BMPR1A
Negative Regulation Of Interferon-Beta Production (GO:0032688)	4/10	3.2488579605230406E-4	0.023172668290521316	0	0	17.46485260770975	140.27833944814265	YY1;MORC3;PPM1B;REL
Regulation Of Calcium Ion Import Across Plasma Membrane (GO:1905664)	4/10	3.2488579605230406E-4	0.023172668290521316	0	0	17.46485260770975	140.27833944814265	PPP3CA;PRNP;PPP3CB;PPP3R1
Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236)	9/60	3.340976062370604E-4	0.023288121780206006	0	0	4.6438356164383565	37.16961958349505	CYLD;FEM1B;ITGA6;PHIP;IGF1;ZMYND11;TLR4;PAK2;SH3RF1
DNA-templated Transcription (GO:0006351)	18/199	4.40030265540863E-4	0.02999050720919615	0	0	2.6317039716170756	20.339563765784014	PHF3;GTF2A1;GTF3C4;NFYA;DDX21;RSF1;CREBL2;SPTY2D1;FOXO3;HIPK3;SETX;FUBP3;TAF1B;TBPL1;TFAM;TRIP11;ERCC6;TAF5
Negative Regulation Of Programmed Cell Death (GO:0043069)	28/381	4.620678689920312E-4	0.030807872917359994	0	0	2.1094018319965895	16.19978160554319	NOTCH2;GSK3B;HDAC2;SH3RF1;FOXO1;MTDH;DSTYK;BAG4;DPP8;BNIP2;PAK2;USP47;RHBDD1;WNT5A;IGF1;SIRT1;HIPK3;TBX3;KLHL20;SETX;DNAJA1;GOLPH3;SON;AXL;YME1L1;PHIP;TEK;IL6ST
Regulation Of Protein Exit From Endoplasmic Reticulum (GO:0070861)	4/11	4.956354767217132E-4	0.03210774663400172	0	0	14.969096209912536	113.90987977193093	TMEM30A;SAR1A;TMEM30B;GCC2
Response To Fatty Acid (GO:0070542)	5/19	5.12970194022199E-4	0.03210774663400172	0	0	9.365025301673803	70.94280888758009	IRS1;ILDR1;PDK4;FOXO3;FOXO1
Negative Regulation Of Calcium Ion Transmembrane Transport (GO:1903170)	5/19	5.12970194022199E-4	0.03210774663400172	0	0	9.365025301673803	70.94280888758009	PPP3CA;PPP3CB;PPP3R1;PLN;SESTD1
Regulation Of Developmental Growth (GO:0048638)	6/29	5.718917104270927E-4	0.03507983751759787	0	0	6.846669434723293	51.12107430982927	GHR;LATS1;GSK3B;NIPBL;MBD5;MYCBP2
mRNA 3'-End Processing (GO:0031124)	7/40	5.876918745294967E-4	0.0353421760623915	0	0	5.571948998178506	41.4514434779909	NUDT21;PAPOLG;CPSF2;CSTF2T;PABPC1;MTPAP;TENT4B
Autophagosome Assembly (GO:0000045)	9/65	6.132129384755883E-4	0.03616777081355056	0	0	4.228106653620352	31.27445215533313	STX12;MAP1LC3B;UBXN2B;RB1CC1;LRBA;UBQLN1;MAP1LC3B2;ATP2A2;UBQLN2
Cellular Response To Starvation (GO:0009267)	13/126	7.923725484134394E-4	0.04585295482988714	0	0	3.0342524196104246	21.666015341080527	BMPR2;RALB;MAP1LC3B2;FOXO3;SIRT1;FOXO1;NUAK1;MAP1LC3B;STK24;JMY;PDK4;MAPK1;MAP3K5
Regulation Of Macroautophagy (GO:0016241)	11/96	8.256424381209849E-4	0.046893432550315944	0	0	3.4087912087912087	24.200197647350336	ATP6V1A;EXOC8;PIK3CA;WAC;UBQLN1;VPS35;VPS26A;SIRT1;DCN;ATP6V1C1;UBQLN2
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	31/456	8.724612998182256E-4	0.04865161466440906	0	0	1.9405649717514124	13.669712754777043	HDAC2;CTBP2;NAB1;ARID4A;RSF1;FOXO1;NIPBL;BCLAF1;ZNF148;TP63;USP47;XRCC5;FBXW11;ZNF281;WNT5A;WWP1;ARID5B;NR1D2;NR2F2;FOXN3;KLF4;SIRT1;SMARCA2;TBX3;RUNX2;DKK3;FOXP1;RLIM;PDCD4;ZMYND11;TRIM33
mRNA Destabilization (GO:0061157)	7/43	9.229226927552289E-4	0.04972786077379611	0	0	5.106823011536126	35.686300892045274	FXR1;METTL14;ROCK1;ROCK2;PDE12;RC3H1;CPEB3
Vesicle Fusion With Golgi Apparatus (GO:0048280)	3/6	9.241891307813427E-4	0.04972786077379611	0	0	26.16576086956522	182.8095431941061	YIPF4;YIPF5;VTI1A
Phosphatidylinositol Biosynthetic Process (GO:0006661)	11/98	9.81580913491473E-4	0.051905321753074954	0	0	3.3300808387015284	23.06529245992884	HYCC2;INPP4B;EFR3A;PIKFYVE;SYNJ1;PIK3CA;PIGM;PIK3CB;PIK3C2A;MTM1;SOCS5
Positive Regulation Of Cellular Catabolic Process (GO:0031331)	14/146	0.001047251783547391	0.05433968463891923	0	0	2.7983908045977013	19.201398873697606	GSK3B;ROCK1;IRS1;IGF1;PIK3CB;FOXO3;PIK3C2A;FOXO1;DCN;MTDH;CCNY;RB1CC1;CNOT8;ATF6
Cellular Response To Ketone (GO:1901655)	7/44	0.001063052193783878	0.05433968463891923	0	0	4.968542312804608	34.01767685214771	PTGFR;GOLPH3;CREB1;ROCK2;PTGER2;NCOA4;KLF9
Regulation Of Osteoblast Differentiation (GO:0045667)	10/85	0.0011463590266724965	0.05670779249684753	0	0	3.5090992226794695	23.760687813222464	PPP3CA;BMPR2;NBR1;CRIM1;IGF1;IL6ST;TP63;RUNX2;BMP6;BMPR1A
Positive Regulation Of Endothelial Cell Migration (GO:0010595)	10/85	0.0011463590266724965	0.05670779249684753	0	0	3.5090992226794695	23.760687813222464	BMPR2;ROCK2;AKT3;WNT5A;PIK3CB;TEK;SIRT1;RIN2;SASH1;FOXP1
Protein K63-linked Deubiquitination (GO:0070536)	6/33	0.001176125901421307	0.057256795867605535	0	0	5.831135364559648	39.334094898261384	OTUD4;USP25;CYLD;ZRANB1;ABRAXAS2;OTUD1
I-kappaB kinase/NF-kappaB Signaling (GO:0007249)	7/45	0.0012193558922866095	0.05843382065067237	0	0	4.837539545585274	32.457145128443834	ROCK1;CHUK;ROCK2;RIPK2;REL;AZI2;TLR4
Selective Autophagy (GO:0061912)	8/58	0.0012517083958759007	0.05857393702973584	0	0	4.204870041039672	28.10218064713825	RIMOC1;MAP1LC3B;SNX18;CALCOCO2;RB1CC1;LRBA;UBQLN1;WDFY3
Hemopoiesis (GO:0030097)	11/101	0.0012604759843373216	0.05857393702973584	0	0	3.218574481074481	21.48805893876171	NOTCH2;FLT3;WNT5A;TET2;INHBA;TEK;BMI1;HIPK1;KLF3;RUNX2;TGFBR2
Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)	5/23	0.0013132789156395618	0.06011681245173934	0	0	7.282394792612776	48.32035187400393	CSDE1;RC3H1;PABPC1;CPEB3;TOB1
COPII-coated Vesicle Cargo Loading (GO:0090110)	4/14	0.0013759204517592343	0.06098716293457479	0	0	10.476734693877551	69.02735315121184	SEC23A;SEC24B;SEC24A;SAR1A
Regulation Of Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0060211)	4/14	0.0013759204517592343	0.06098716293457479	0	0	10.476734693877551	69.02735315121184	PABPC1;CPEB3;TENT4B;TOB1
Mitotic Cytokinesis (GO:0000281)	8/59	0.0014020223788135785	0.06098716293457479	0	0	4.122207022343821	27.08223863977951	SNX18;SON;EXOC8;ROCK1;APC;ROCK2;EXOC6;EXOC5
Protein Localization (GO:0008104)	25/351	0.0014118319427306194	0.06098716293457479	0	0	2.0337122579092988	13.346983406030047	STX12;SAR1A;CCDC68;CLTC;VPS26A;TM9SF3;NIPBL;FGF7;ARL5B;AKAP11;STX6;VPS35;ARL5A;CEP68;RIC1;EXOC8;LRBA;HEG1;WNT5A;NBEAL1;HOOK3;TM9SF2;SEC23IP;RAB18;PHIP
Regulation Of Endothelial Cell Migration (GO:0010594)	10/88	0.0014980303998796667	0.06381193383931857	0	0	3.3736062748408426	21.940599602353306	BMPR2;ROCK2;WNT5A;PIK3CB;NR2F2;TEK;RIN2;DCN;SASH1;FOXP1
