Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
MRPL20	1p36.33	-0.4465920155793571	0.000036992097894104363	0.004268477073669709
LCA5	6q14.1	0.44588607594936713	0.000038183745773384627	0.004378949446269195
DENND4A	15q22.31	0.4455209347614412	0.00003881403710303545	0.004424090216872205
ATP2C1	3q22.1	0.44503407984420645	0.000039669487947035386	0.004469476486067747
GFPT1	2p13.3	0.444985394352483	0.00003975599075224021	0.004469476486067747
TMEM245	9q31.3	0.44488802336903616	0.000039929522985786856	0.004469476486067747
MSL2	3q22.3	0.4445228821811099	0.000040586563433862284	0.0045159799420784975
SAMD8	10q22.2	0.4439873417721519	0.00004156843120893166	0.004597862038985559
MXD3	5q35.3	-0.44340311587147024	0.00004266472622324957	0.004691363101712966
SGMS1	10q11.23	0.4425754625121714	0.00004426388974891061	0.004821019462957462
ARHGAP26	5q31.3	0.44252677702044807	0.000044359671942902876	0.004821019462957462
SRA1	5q31.3	-0.4421859785783837	0.00004503556152933766	0.004848673592362136
FXR1	3q26.33	0.4421372930866603	0.00004513289493773133	0.004848673592362136
POLR2J	7q22.1	-0.441966893865628	0.00004547510392200093	0.004857520672079791
IZUMO4	19p13.3	-0.4417585629001907	0.00004589676716223131	0.004874706071384034
BLOC1S1	12q13.2	-0.44099318403115856	0.000047477299810814494	0.005011655143490515
DENND10	10q26.11	0.44077409931840295	0.000047938941951596374	0.005011655143490515
TAFAZZIN	Xq28	-0.4407497565725413	0.00004799049219947586	0.005011655143490515
CYP1B1	2p22.2	0.4398639232306577	0.00004990183092877647	0.005182305141953437
C10ORF88	10q26.13	0.43967867575462494	0.00005031037239627043	0.005195866249743001
STXBP5	6q24.3	0.4390457643622199	0.00005172974578464728	0.0052830959803932135
TEK	9p21.2	0.4390214216163583	0.00005178507277029083	0.0052830959803932135
TMEM216	11q13.1	-0.43885102239532614	0.000052173903389199205	0.0052830959803932135
ROCK1	18q11.1	0.43880233690360276	0.00005228549491107605	0.0052830959803932135
TMEM62	15q15.2	-0.43863193768257064	0.00005267781341211241	0.005294120247917297
TBCB	19q13.12	-0.4384858812074003	0.00005301626069143916	0.0052996415032356805
PSMB3	17q12	-0.4382181110029211	0.000053641998133479437	0.005333669527176229
PGR	11q22.1	0.43756314365012294	0.00005520157689178961	0.005454670030108437
DHRS11	17q12	-0.43746348588120726	0.00005544253494466394	0.005454670030108437
MRPL16	11q12.1	-0.4370496592015579	0.000056453593076335096	0.005519688889431349
ABI1	10p12.1	0.43695228821811094	0.00005669396387796603	0.005519688889431349
NDUFA7	19p13.2	-0.43678188899707887	0.00005711690053522456	0.005528891076884086
NELFE	6p21.33	-0.4366601752677701	0.00005742078942659018	0.005528891076884086
RAB18	10p12.1	0.43651411879259994	0.00005778743720985458	0.005528891076884086
PABPC1	8q22.3	0.4364410905550145	0.000057971574978295666	0.005528891076884086
ALKBH6	19q13.12	-0.43627069133398244	0.00005840335000260686	0.005541796048724517
MYH3	17p13.1	-0.43607594936708854	0.00005890046158473515	0.005560141350846397
PADI1	1p36.13	-0.4358858423811566	0.00005938952743690543	0.005560141350846397
PFKFB1	Xp11.21	-0.435847345719766	0.000059489021032968464	0.005560141350846397
ZNF133	20p11.23	-0.43549172346640697	0.000060415460486097384	0.0056186378252070564
NCOA2	8q13.3	0.435223953261928	0.00006112185193201262	0.005656191971114415
NDUFA1	Xq24	-0.43507789678675757	0.00006151037937305246	0.005664106017834826
MAPK1	22q11.22	0.434785783836417	0.00006229431897102106	0.005708175022182827
TMEM42	3p21.31	-0.43415287244401174	0.00006402476354432641	0.005838121487483383
RTL8A	Xq26.3	-0.43393378773125607	0.00006463408067249179	0.005865072184518878
C1QTNF9B	13q12.12	-0.43374168538829844	0.000065172776672465	0.005876261973871499
ZNF345	19q13.12	-0.43366601752677714	0.00006538610659419418	0.005876261973871499
ERCC4	16p13.12	0.43347127555988313	0.00006593812387988377	0.005897518419553432
KEL	7q34	-0.43312094159116055	0.00006694208129927409	0.005946814188026002
TMEM258	11q12.2	-0.4330574488802336	0.0000671255439829608	0.005946814188026002
BCAR3	1p22.1	0.4324001947419671	0.00006905227909442302	0.006066415152329105
TMEM186	16p13.2	-0.43237585199610545	0.00006912461495993684	0.006066415152329105
AGER	6p21.32	-0.4320593962999025	0.00007007139811389692	0.006105596486434296
ADIG	20q11.23	-0.43200865498144886	0.000070224321648926	0.006105596486434296
RSPH9	6p21.1	-0.43181596884128515	0.00007080785997190516	0.006127830215068625
U2AF1L4	19q13.12	-0.43086660175267777	0.0000737491768146912	0.006352964802751256
GPD2	2q24.1	0.4305258033106134	0.00007483237390369212	0.006416704428356499
LGALS4	19q13.2	-0.43020993100506566	0.00007584949578566881	0.006458371505661712
TOGARAM1	14q21.2	0.4301606621226872	0.0000760092939199474	0.006458371505661712
ZFP91	11q12.1	0.4296007789678675	0.00007784726473014701	0.006584610495930489
USP53	4q26	0.4294303797468355	0.00007841476925774554	0.006602735503310979
MYBPHL	1p13.3	-0.42901916395124984	0.00007980012555809299	0.006689254471109562
AP3M1	10q22.2	0.42870009737098336	0.00008089062454248786	0.0067343177237017
TBC1D4	13q22.2	0.42865141187926004	0.00008105822970271665	0.0067343177237017
CCNJ	10q24.1	0.4285053554040898	0.00008156297759889989	0.006746268762195733
KLHDC9	1q23.3	-0.4282132424537485	0.0000825812202283189	0.006777573738764013
PCGF5	10q23.32	0.42818889970788704	0.00008266660313690659	0.006777573738764013
CTSO	4q32.1	0.4277994157740994	0.00008404389952331985	0.006810515983217691
MIEN1	17q12	-0.4276777020447907	0.00008447864427251213	0.006810515983217691
MAN1A1	6q22.31	0.4276777020447907	0.00008447864427251213	0.006810515983217691
ZNF875	19q13.12	-0.4276046738072052	0.0000847404899875407	0.006810515983217691
TRPV1	17p13.2	-0.42750730282375843	0.00008509078702733699	0.006810515983217691
IRS1	2q36.3	0.42738558909444996	0.0000855305443252676	0.006810515983217691
ING4	12p13.31	-0.4273612463485883	0.00008561874798353166	0.006810515983217691
NXT1	20p11.21	-0.427093476144109	0.00008659456409417075	0.006858949943272601
PPP1R12A	12q21.2-q21.31	0.4262171372930868	0.0000898606222127313	0.007087614392500364
KIFBP	10q22.1	0.42609542356377816	0.00009032315608954623	0.007094162843621377
TET2	4q24	0.42585199610516056	0.00009125484365456176	0.007137350595961183
ACSL4	Xq23	0.4256572541382667	0.0000920065911446858	0.007166163367781715
KRTCAP2	1q22	-0.42548685491723454	0.0000926690688135875	0.0071878128768978885
MYOCD	17p12	0.4250809675725251	0.00009426490285061926	0.0072813794586224214
STOM	9q33.2	0.4247809152872441	0.00009546093480968532	0.007328382337486974
BAALC-AS2	8q22.3	-0.42462527158327446	0.00009608686054149569	0.007328382337486974
PANK3	5q34	0.4246105160662122	0.00009614639698011185	0.007328382337486974
USP46	4q12	0.42453748782862716	0.0000964415586059913	0.007328382337486974
CYLD	16q12.1	0.424342745861733	0.00009723276104143483	0.007358591101811909
CCDC170	6q25.1	0.4239045764362218	0.00009903497934260651	0.007420789923892185
CNOT6	5q35.3	0.42383154819863667	0.00009933833710091881	0.007420789923892185
FOXH1	8q24.3	-0.4237585199610517	0.00009964255448012295	0.007420789923892185
ARMCX6	Xq22.1	-0.4237585199610517	0.00009964255448012295	0.007420789923892185
TBX3	12q24.21	0.42361246348588105	0.00010025357699446248	0.007429941922960917
SARAF	8p12	0.42353943524829607	0.00010056038658905001	0.007429941922960917
TP53AIP1	11q24.3	-0.4233032445155624	0.00010155864054115785	0.007474156171794739
EIF3K	19q13.2	-0.4231499513145082	0.00010221142791315906	0.007492698909728166
SDF2	17q11.2	-0.4225657254138267	0.0001047350617505836	0.0075777217486558265
UQCR10	22q12.2	-0.4225170399221033	0.00010494794506758702	0.0075777217486558265
TRMT112	11q13.1	-0.42251703992210315	0.00010494794506758702	0.0075777217486558265
CDK3	17q25.1	-0.4223953261927945	0.00010548190565851711	0.0075777217486558265
PABPN1	14q11.2	-0.4222979552093475	0.0001059108821629715	0.0075777217486558265
IKZF5	10q26.13	0.4220545277507302	0.0001069903928819612	0.0075777217486558265
GSK3B	3q13.33	0.4219814995131449	0.00010731622501383313	0.0075777217486558265
SOS1	2p22.1	0.4219571567672834	0.00010742503950108454	0.0075777217486558265
FANCG	9p13.3	-0.42195715676728346	0.00010742503950108454	0.0075777217486558265
C20ORF96	20p13	-0.4219571567672833	0.00010742503950108565	0.0075777217486558265
UBXN2B	8q12.1	0.42178675754625133	0.00010818960273998512	0.007589846109676954
RNF168	3q29	0.4217380720545279	0.00010840897187630378	0.007589846109676954
CAB39	2q37.1	0.421372930866602	0.00011006739871933759	0.007658965206267853
FRMD6	14q22.1	0.42129990262901645	0.00011040188645232897	0.007658965206267853
MED13L	12q24.21	0.42125121713729285	0.00011062540018682502	0.007658965206267853
ERCC6	10q11.23	0.42103213242453763	0.00011163639952503006	0.007700439912625043
TBC1D9	4q31.21	0.4206669912366116	0.00011334040205871859	0.00778923579295451
SKIL	3q26.2	0.42047224926971744	0.00011425900494280175	0.007823602854929645
C19ORF18	19q13.43	-0.4203748782862706	0.00011472088293335558	0.007826560090048233
TCTA	3p21.31	-0.4201071080817915	0.00011599996218026405	0.00787232217468944
ADO	10q21.3	0.42005842259006815	0.00011623393356947976	0.00787232217468944
IQCC	1p35.2	-0.41996105160662106	0.00011670318557296938	0.007875569126048797
PDZD8	10q25.3-q26.11	0.4196932814021421	0.0001180026728940586	0.007909710641597737
HSD17B3	9q22.32	-0.4196445959104186	0.00011824037534198311	0.007909710641597737
CHD9	16q12.2	0.41959591041869526	0.00011847852028285274	0.007909710641597737
FAHD2A	2q11.1	-0.41944985394352485	0.00011919561757117909	0.007917051592815983
CITED1	Xq13.1	-0.41940116845180136	0.00011943553999754494	0.007917051592815983
TLR4	9q33.1	0.4193037974683542	0.00011991672437262515	0.007920859818719019
CSDE1	1p13.2	0.41893865628042837	0.00012173716716310217	0.008012791780915032
FAHD2B	2q11.2	-0.4188412852969814	0.00012222691335631174	0.00801679891708609
SCNM1	1q21.3	-0.41871957156767275	0.00012284165629490793	0.008028947836086412
AQP8	16p12.1	-0.4186011438436528	0.00012344254369137483	0.008040109648860174
CERS5	12q13.12	-0.418427458617332	0.00012432871439928172	0.00806971061897838
MRPL27	17q21.33	-0.41825705939630003	0.00012520382818787123	0.008069853760064662
CHRNB1	17p13.1	-0.41811100292112935	0.0001259584516156502	0.008069853760064662
FOXO1	13q14.11	0.41808666017526785	0.00012608462995642692	0.008069853760064662
CCDC159	19p13.2	-0.41796494644595905	0.0001267172751402653	0.008069853760064662
JMY	5q14.1	0.4179649464459589	0.0001267172751402653	0.008069853760064662
TRIM7	5q35.3	-0.41784323271665036	0.0001273528518279075	0.008069853760064662
NT5C2	10q24.32-q24.33	0.41784323271665047	0.0001273528518279075	0.008069853760064662
MDP1	14q12	-0.4176484907497564	0.00012837590292512303	0.008107198491146368
DDIT3	12q13.3	-0.41742940603700107	0.00012953590701046444	0.008152911480628322
MUSTN1	3p21.1	-0.4172833495618307	0.00013031461379033927	0.008174399582492657
NFYA	6p21.1	0.4165774099318403	0.00013413968437093565	0.008366576434210283
VCPIP1	8q13.1	0.4165530671859787	0.00013427341412630852	0.008366576434210283
CATSPER3	5q31.1	-0.4162609542356381	0.00013588780334701088	0.008439038896895928
PLAAT4	11q12.3	-0.41589581304771167	0.00013793099261168667	0.008537563062550527
CIAO2B	16q22.1	-0.41579844206426453	0.0001384806134864794	0.008543294085487655
ARHGEF12	11q23.3	0.4156523855890943	0.00013930883719152646	0.008566118729017119
UBE2D3	4q24	0.41516553067186	0.00014210272592746665	0.0086808047573928
PTPRB	12q15	0.41516553067185974	0.00014210272592747	0.0086808047573928
POU5F1	6p21.33	-0.41487594253411003	0.00014378901090771436	0.008744993603479224
FUBP3	9q34.11-q34.12	0.41482473222979555	0.00014408912586912756	0.008744993603479224
ATP6V1A	3q13.31	0.41436222005842244	0.0001468259625081888	0.008882257984354606
NOL3	16q22.1	-0.4142405063291138	0.00014755411413461264	0.00889702568871607
SLC22A14	3p22.2	-0.4141625916417138	0.00014802198626173957	0.00889702568871607
DDX6	11q23.3	0.41397273612463464	0.0001491677936706046	0.008935057267428931
ARL15	5q11.2	0.41389970788704933	0.00014961070586343847	0.008935057267428931
GTF3C4	9q34.13	0.41372930866601737	0.00015064889125877644	0.008966460007721846
POLR2G	11q12.3	-0.41365628042843233	0.00015109585954273692	0.008966460007721846
LY6G5B	6p21.33	-0.4134858812074001	0.00015214354843678238	0.008971549561583018
SOCS5	2p21	0.4133641674780915	0.0001528959970628963	0.008971549561583018
AKT3	1q43-q44	0.41336416747809157	0.0001528959970628963	0.008971549561583018
CCSER2	10q23.1	0.4132911392405064	0.0001533491128002018	0.008971549561583018
HELZ	17q24.2	0.4131694255111977	0.00015410705981647955	0.008971549561583018
CD59	11p13	0.413072054527751	0.00015471590434795404	0.008971549561583018
IP6K2	3p21.31	-0.413047711781889	0.00015486846183863676	0.008971549561583018
TSNAXIP1	16q22.1	-0.4130233690360268	0.0001550211581014987	0.008971549561583018
FAM50A	Xq28	-0.4128286270691334	0.00015624773778136807	0.009014626426997263
TMTC1	12p11.22	0.41268257059396296	0.000157173541230979	0.00902825271458322
SLC7A2	8p22	0.41263388510223964	0.00015748326515523513	0.00902825271458322
ATF6	1q23.3	0.41248782862706945	0.00015841581824122797	0.00902825271458322
DCAF10	9p13.2	0.4124878286270692	0.0001584158182412291	0.00902825271458322
GHITM	10q23.1	0.412147030185005	0.00016061161945593214	0.009123422335024597
CAND1	12q14.3-q15	0.41195228821811103	0.00016187893266326065	0.009123422335024597
NBEAL1	2q33.2	0.41192794547224926	0.0001620379936461866	0.009123422335024597
PPP3CB	10q22.2	0.41192794547224926	0.0001620379936461866	0.009123422335024597
KRTAP5-9	11q13.4	-0.4116104138933222	0.00016412606260724768	0.009203295454316097
ARL5A	2q23.3	0.4115628042843233	0.00016444127115720198	0.009203295454316097
TMEM147	19q13.12	-0.411246348588121	0.00016655065537161427	0.009283283743704924
ANKRD50	4q28.1	0.4110272638753652	0.00016802558377428876	0.009283283743704924
ACTR2	2p14	0.41100292112950354	0.00016819020599169983	0.009283283743704924
NUDT21	16q13	0.41095423563778	0.00016851989665689555	0.009283283743704924
GCC2	2q12.3	0.4109542356377798	0.00016851989665689674	0.009283283743704924
ZSCAN5A	19q13.43	-0.4109055501460562	0.00016885018310916781	0.009283283743704924
